,Unnamed: 0,ID,year,date,planted_area,latitude,longitude,aoi_area,total_flooding_area,flooding_date,geometry
170334,8,ID1506,2020,2020-03-13,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170335,9,ID1506,2020,2020-03-18,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170336,10,ID1506,2020,2020-03-23,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170337,11,ID1506,2020,2020-03-28,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170338,12,ID1506,2020,2020-04-02,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170339,13,ID1506,2020,2020-04-07,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170340,14,ID1506,2020,2020-04-12,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170341,15,ID1506,2020,2020-04-17,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170342,16,ID1506,2020,2020-04-22,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170343,17,ID1506,2020,2020-04-27,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170344,18,ID1506,2020,2020-05-02,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170345,19,ID1506,2020,2020-05-07,7.1000000000000005,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
